"[[4, '스카치 게임'], [4, '센터 게임'], [4, '대니시 갬빗'], [4, '피어츠 디펜스'], [4, '클로즈드 게임'], [4, '런던 시스템'], [4, '퀸스 갬빗'], [4, '퀸스 갬빗 수락 (QGA)'], [4, '퀸스 갬빗 거절 (QGD)'], [4, '슬라브 디펜스'], [4, '스톤월 어택'], [4, '콜 시스템'], [4, '인디언 디펜스'], [4, '모던 베노니'], [4, '벵코 갬빗 (볼가 갬빗)'], [4, '님조-인디언 디펜스'], [4, '퀸스 인디언 디펜스'], [4, '카탈란 오프닝'], [4, '그룬펠드 디펜스'], [4, '킹스 인디언 디펜스 (KID)'], [4, '베노니 디펜스'], [4, '더치 디펜스']]",395
"[[4, '루이 로페즈']]",233
"[[4, '스카치 게임'], [4, '센터 게임'], [4, '대니시 갬빗'], [4, '피어츠 디펜스'], [4, '클로즈드 게임'], [4, '런던 시스템'], [4, '퀸스 갬빗'], [4, '퀸스 갬빗 수락 (QGA)'], [4, '퀸스 갬빗 거절 (QGD)'], [4, '슬라브 디펜스'], [4, '스톤월 어택'], [4, '콜 시스템'], [4, '인디언 디펜스'], [4, '모던 베노니'], [4, '벵코 갬빗 (볼가 갬빗)'], [4, '님조-인디언 디펜스'], [4, '퀸스 인디언 디펜스'], [4, '카탈란 오프닝'], [4, '그룬펠드 디펜스'], [4, '킹스 인디언 디펜스 (KID)'], [4, '베노니 디펜스'], [4, '더치 디펜스']]",90
"[[4, '스카치 게임'], [4, '센터 게임'], [4, '대니시 갬빗'], [4, '피어츠 디펜스'], [4, '클로즈드 게임'], [4, '런던 시스템'], [4, '퀸스 갬빗'], [4, '퀸스 갬빗 수락 (QGA)'], [4, '퀸스 갬빗 거절 (QGD)'], [4, '슬라브 디펜스'], [4, '스톤월 어택'], [4, '콜 시스템'], [4, '인디언 디펜스'], [4, '모던 베노니'], [4, '벵코 갬빗 (볼가 갬빗)'], [4, '님조-인디언 디펜스'], [4, '퀸스 인디언 디펜스'], [4, '카탈란 오프닝'], [4, '그룬펠드 디펜스'], [4, '킹스 인디언 디펜스 (KID)'], [4, '베노니 디펜스'], [4, '더치 디펜스']]",87
"[[4, '스카치 게임'], [4, '센터 게임'], [4, '대니시 갬빗'], [4, '피어츠 디펜스'], [4, '클로즈드 게임'], [4, '런던 시스템'], [4, '퀸스 갬빗'], [4, '퀸스 갬빗 수락 (QGA)'], [4, '퀸스 갬빗 거절 (QGD)'], [4, '슬라브 디펜스'], [4, '스톤월 어택'], [4, '콜 시스템'], [4, '인디언 디펜스'], [4, '모던 베노니'], [4, '벵코 갬빗 (볼가 갬빗)'], [4, '님조-인디언 디펜스'], [4, '퀸스 인디언 디펜스'], [4, '카탈란 오프닝'], [4, '그룬펠드 디펜스'], [4, '킹스 인디언 디펜스 (KID)'], [4, '베노니 디펜스'], [4, '더치 디펜스']]",86
"[[8, '루이 로페즈'], [8, '스카치 게임'], [8, '이탈리안 게임'], [8, '포 나이트 게임'], [8, '페트로프 디펜스'], [8, '필리도어 디펜스'], [8, '콜 시스템'], [8, '퀸스 인디언 디펜스'], [8, '주커토트 오프닝'], [8, '킹스 인디언 어택 (KIA)']]",80
"[[4, '스카치 게임'], [4, '센터 게임'], [4, '대니시 갬빗'], [4, '피어츠 디펜스'], [4, '클로즈드 게임'], [4, '런던 시스템'], [4, '퀸스 갬빗'], [4, '퀸스 갬빗 수락 (QGA)'], [4, '퀸스 갬빗 거절 (QGD)'], [4, '슬라브 디펜스'], [4, '스톤월 어택'], [4, '콜 시스템'], [4, '인디언 디펜스'], [4, '모던 베노니'], [4, '벵코 갬빗 (볼가 갬빗)'], [4, '님조-인디언 디펜스'], [4, '퀸스 인디언 디펜스'], [4, '카탈란 오프닝'], [4, '그룬펠드 디펜스'], [4, '킹스 인디언 디펜스 (KID)'], [4, '베노니 디펜스'], [4, '더치 디펜스']]",73
"[[4, '루이 로페즈']]",71
"[[4, '스카치 게임'], [4, '센터 게임'], [4, '대니시 갬빗'], [4, '피어츠 디펜스'], [4, '클로즈드 게임'], [4, '런던 시스템'], [4, '퀸스 갬빗'], [4, '퀸스 갬빗 수락 (QGA)'], [4, '퀸스 갬빗 거절 (QGD)'], [4, '슬라브 디펜스'], [4, '스톤월 어택'], [4, '콜 시스템'], [4, '인디언 디펜스'], [4, '모던 베노니'], [4, '벵코 갬빗 (볼가 갬빗)'], [4, '님조-인디언 디펜스'], [4, '퀸스 인디언 디펜스'], [4, '카탈란 오프닝'], [4, '그룬펠드 디펜스'], [4, '킹스 인디언 디펜스 (KID)'], [4, '베노니 디펜스'], [4, '더치 디펜스']]",69
"[[5, '스칸디나비안 디펜스'], [5, '클로즈드 게임'], [5, '퀸스 갬빗'], [5, '퀸스 갬빗 수락 (QGA)'], [5, '퀸스 갬빗 거절 (QGD)'], [5, '슬라브 디펜스'], [5, '스톤월 어택'], [5, '콜 시스템'], [5, '모던 베노니'], [5, '벵코 갬빗 (볼가 갬빗)'], [5, '그룬펠드 디펜스']]",60
